Entity,Code,Year,"Percentage of Americans living alone, by age, total (IPUMS)"
Age 18,,1900,0.2826103
Age 18,,1920,0.29753187
Age 18,,1940,0.16828842
Age 18,,1960,0.50808835
Age 18,,1980,1.0791981
Age 18,,2000,0.88557899
Age 18,,2018,0.54856783
Age 21,,1900,0.8530516
Age 21,,1920,0.61699224
Age 21,,1940,0.65782249
Age 21,,1960,1.6465194
Age 21,,1980,5.5592036
Age 21,,2000,4.7959294
Age 21,,2018,3.7633936
Age 30,,1900,1.4475262
Age 30,,1920,1.0820333
Age 30,,1940,1.5331241
Age 30,,1960,2.4077144
Age 30,,1980,8.9690161
Age 30,,2000,9.7933722
Age 30,,2018,9.47083
Age 45,,1900,2.0883126
Age 45,,1920,2.2757423
Age 45,,1940,2.8379524
Age 45,,1960,3.8069024
Age 45,,1980,6.1046829
Age 45,,2000,10.512973
Age 45,,2018,9.170002
Age 60,,1900,4.2898355
Age 60,,1920,4.8850908
Age 60,,1940,6.3180275
Age 60,,1960,10.958211
Age 60,,1980,13.569151
Age 60,,2000,15.704637
Age 60,,2018,17.681852
Age 75,,1900,6.4125099
Age 75,,1920,8.3861637
Age 75,,1940,12.162309
Age 75,,1960,20.639933
Age 75,,1980,31.746202
Age 75,,2000,28.880363
Age 75,,2018,24.76524
Age 89,,1900,3.0029743
Age 89,,1920,5.5308571
Age 89,,1940,8.7714338
Age 89,,1960,14.518483
Age 89,,1980,29.159912
Age 89,,2000,40.842579
Age 89,,2018,41.961132
